Name,Platform,Publisher,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Year,Genre
Ninja Gaiden Sigma 2,PS3,Tecmo Koei  ,8.5,,0.52,0.16,0.08,0.1,0.85,2009,Action
Street Fighter Alpha 2,PS,Capcom  ,8.2,,0.14,0.09,0.57,0.06,0.85,1996,Fighting
Disney Infinity 3.0,PS4,Disney Interactive Studios  ,,,0.31,0.4,,0.14,0.85,2015,Action
Tiger Woods PGA Tour 2005,XB,EA Sports  ,,,0.64,0.18,,0.03,0.85,2004,Sports
Dragon Ball Z: Burst Limit,PS3,Atari  ,7.3,,0.22,0.34,0.18,0.12,0.85,2008,Fighting
Castlevania III: Dracula's Curse,NES,Konami  ,,,0.4,0.07,0.37,0.01,0.85,1990,Platform
Army of Two: The 40th Day,PS3,Electronic Arts  ,7.1,,0.44,0.27,0.01,0.13,0.85,2010,Shooter
Rampage World Tour,PS,Midway Games  ,,,0.47,0.32,,0.06,0.85,1997,Action
The Legendary Starfy,DS,Nintendo  ,7.1,,0.6,,0.2,0.05,0.85,2009,Platform
Red Orchestra: Ostfront 41-45,PC,Tripwire Interactive  ,,,,0,,0,0,2006,Shooter
Farming Simulator 17,PS4,Focus Home Interactive  ,,,0.19,0.52,0.01,0.13,0.85,2016,Simulation
Burnout Legends,PSP,Electronic Arts  ,8.4,,0.7,0.06,,0.09,0.85,2005,Racing
NCAA Football 11,PS3,EA Sports  ,8.5,,0.79,,,0.06,0.85,2010,Sports
LEGO Jurassic World,3DS,Warner Bros. Interactive Entertainment  ,,,0.35,0.39,0.04,0.07,0.85,2015,Action
Ratatouille,PS2,THQ  ,6,,0.31,0,,0.53,0.85,2007,Platform
Burnout 2: Point of Impact,PS2,Acclaim Entertainment  ,,,0.42,0.32,,0.11,0.85,2002,Racing
The House of the Dead: Overkill,Wii,Sega  ,7.9,,0.44,0.3,0.02,0.09,0.85,2009,Shooter
Street Fighter EX3,PS2,Capcom  ,,,0.32,0.25,0.2,0.08,0.85,2000,Fighting
Darksiders II,PS3,THQ  ,8.3,,0.35,0.37,0.01,0.13,0.85,2012,Action-Adventure
Ghostbusters: The Video Game,PS3,Atari  ,7.8,,0.34,0.36,,0.14,0.84,2009,Action
Spider-Man 2,GC,Activision  ,7.7,,0.65,0.17,,0.02,0.84,2004,Action
Sniper Elite V2,X360,505 Games  ,7,,0.46,0.28,0.02,0.08,0.84,2012,Shooter
Xenoblade Chronicles X,WiiU,Nintendo  ,8.1,,0.34,0.29,0.15,0.06,0.84,2015,Role-Playing
NBA 2K10,PS3,2K Sports  ,8.2,,0.75,0.01,0.01,0.07,0.84,2009,Sports
The Incredibles,GC,THQ  ,6.2,,0.65,0.17,,0.02,0.84,2004,Action
Skate 2,PS3,Electronic Arts  ,8.2,,0.46,0.25,0.01,0.12,0.84,2009,Sports
Petz Dogz Fashion,DS,Ubisoft  ,,,0.46,0.3,,0.09,0.84,2008,Simulation
ATV Quad Power Racing 2,PS2,Acclaim Entertainment  ,,,0.41,0.32,,0.11,0.84,2003,Racing
Lego Batman 3: Beyond Gotham,PS3,Warner Bros. Interactive Entertainment  ,,,0.34,0.36,,0.14,0.84,2014,Action
ZombiU,WiiU,Ubisoft  ,6.9,,0.35,0.37,0.05,0.07,0.84,2012,Action
Rocket Power: Team Rocket Rescue,PS,THQ  ,,,0.47,0.32,,0.05,0.84,2001,Sports
Madden NFL 09 All-Play,Wii,EA Sports  ,,,0.77,0.01,,0.06,0.84,2008,Sports
Big Mutha Truckers,PS2,THQ  ,,,0.41,0.32,,0.11,0.84,2003,Racing
Harry Potter and the Order of the Phoenix,DS,Electronic Arts  ,,,0.28,0.46,,0.1,0.84,2007,Adventure
Rogue Galaxy,PS2,Sony Computer Entertainment  ,8.3,7.5,0.24,0.16,0.39,0.05,0.84,2007,Role-Playing
Street Fighter X Tekken,PS3,Capcom  ,,,0.42,0.22,0.1,0.1,0.84,2012,Fighting
MLB 13: The Show,PS3,Sony Computer Entertainment America  ,8.5,,0.68,,,0.16,0.84,2013,Sports
ESPN College Hoops 2K5,PS2,Sega  ,,,0.41,0.32,,0.11,0.84,2004,Sports
Worldwide Soccer Manager 2008,PC,Sega  ,,,,1.12,,0,1.12,2007,Sports
Blazing Angels: Squadrons of WWII,Wii,Ubisoft  ,4.7,,0.74,0.04,,0.06,0.84,2007,Simulation
Metroid: Zero Mission,GBA,Nintendo  ,8.9,,0.6,0.22,,0.01,0.84,2004,Adventure
Ben 10: Protector of Earth,PS2,D3 Publisher  ,,,0.09,0,,0.74,0.84,2007,Action
Q*bert,PS,Hasbro Interactive  ,,,0.46,0.32,,0.05,0.84,1999,Puzzle
NCAA Football 12,PS3,EA Sports  ,7.7,,0.78,,,0.06,0.83,2011,Sports
Forza Horizon 2,X360,Microsoft Studios  ,,,0.35,0.41,0,0.07,0.83,2014,Racing
Madden NFL 25,XOne,EA Sports  ,7.1,,0.69,0.06,,0.09,0.83,2013,Sports
DJ Hero 2,X360,Activision  ,8.5,,0.65,0.12,,0.06,0.83,2010,Misc
Call of Duty: Modern Warfare 3,Wii,Activision  ,4.5,,0.55,0.2,,0.08,0.83,2011,Shooter
Time Crisis 4,PS3,Namco Bandai  ,6.1,,0.32,0.32,0.05,0.14,0.83,2007,Shooter
Dynasty Warriors 2,PS2,KOEI  ,,,0.24,0.19,0.34,0.06,0.83,2000,Action
Need for Speed: Nitro,Wii,Electronic Arts  ,7,,0.45,0.3,,0.08,0.83,2009,Racing
Duke Nukem Forever,X360,2K Games  ,4.3,,0.52,0.25,,0.07,0.83,2011,Shooter
Madden NFL 07,PSP,EA Sports  ,8.3,,0.77,0.03,,0.04,0.83,2006,Sports
Stranglehold,X360,Midway Games  ,8,,0.41,0.33,0.01,0.09,0.83,2007,Shooter
Metal Gear Solid V: The Phantom Pain,XOne,Konami Digital Entertainment  ,,,0.49,0.25,0.02,0.07,0.83,2015,Action
Tiger Woods PGA Tour 11,PS3,EA Sports  ,7.9,,0.37,0.34,,0.13,0.83,2010,Sports
Dragon Age II,PS3,Electronic Arts  ,7.7,,0.4,0.26,0.05,0.12,0.83,2011,Role-Playing
Lizzie McGuire 2: Lizzie Diaries,GBA,Disney Interactive Studios  ,,,0.6,0.22,,0.01,0.83,2004,Action
WWE SmackDown vs. Raw 2009,Wii,THQ  ,8.2,,0.44,0.31,,0.08,0.83,2008,Fighting
FIFA Soccer World Championship,PS2,EA Sports  ,,,0.27,0.21,0.28,0.07,0.83,2000,Sports
Brute Force,XB,Microsoft Game Studios  ,,,0.62,0.18,0.01,0.03,0.83,2003,Shooter
Rayman Origins,Wii,Ubisoft  ,9.5,,0.21,0.28,,0.06,0.55,2011,Platform
Sniper: Ghost Warrior,PS3,City Interactive  ,4.5,,0.3,0.35,0.04,0.14,0.83,2011,Shooter
Scooby-Doo! First Frights,DS,Warner Bros. Interactive  ,,,0.6,0.16,,0.07,0.83,2009,Adventure
Yu-Gi-Oh! Dark Duel Stories,GB,Konami  ,6.2,,,,0.83,,0.83,2002,Misc
Dance Central 3,X360,Microsoft  ,,,0.57,0.19,,0.07,0.83,2012,Music
Mega Man Legends,PS,Capcom  ,,,0.39,0.26,0.12,0.05,0.83,1998,Adventure
Sly 3: Honor Among Thieves,PS2,Sony Computer Entertainment  ,,,0.69,0.03,,0.11,0.83,2005,Platform
Dragon Ball: Raging Blast 2,PS3,Namco Bandai  ,6,,0.43,0.19,0.11,0.1,0.83,2010,Fighting
Twisted Metal (2012),PS3,Sony Computer Entertainment  ,7.9,,0.67,0.07,,0.09,0.83,2012,Action
MLB SlugFest 20-03,PS2,Midway Games  ,,,0.41,0.32,,0.11,0.83,2002,Sports
Guitar Hero Live,XOne,Activision  ,,,0.52,0.23,,0.08,0.83,2015,Music
Sid Meier's Civilization Revolution,X360,2K Games  ,8.4,,0.58,0.17,0,0.07,0.83,2008,Strategy
MediEvil,PS,Sony Computer Entertainment  ,,,0.46,0.31,,0.05,0.83,1998,Adventure
Casper,PS,Interplay  ,4.9,,0.46,0.31,,0.05,0.83,1996,Adventure
Harvest Moon: Tree of Tranquility,Wii,Natsume  ,,,0.67,0.03,0.06,0.05,0.82,2008,Simulation
James Bond 007: Nightfire,XB,Electronic Arts  ,,,0.58,0.22,,0.03,0.82,2002,Shooter
Tony Hawk's Underground 2 Remix,PSP,Activision  ,8.5,,0.46,0.21,,0.15,0.82,2005,Sports
Marvel: Ultimate Alliance,PS2,Activision  ,8.1,,0.69,0.03,,0.11,0.82,2006,Role-Playing
Tony Hawk's Pro Skater 3,GC,Activision  ,9.1,,0.64,0.17,,0.02,0.82,2001,Sports
FIFA 17,X360,Electronic Arts  ,,,0.2,0.56,,0.06,0.82,2016,Sports
Karaoke Revolution Glee,Wii,Konami  ,,,0.51,0.24,,0.07,0.82,2010,Misc
I Spy: Fun House,DS,Scholastic Inc.  ,,,0.76,,,0.06,0.82,2007,Puzzle
Need for Speed: Hot Pursuit 2,XB,Electronic Arts  ,8.2,,0.68,0.11,,0.03,0.82,2002,Racing
The Price is Right,Wii,Ubisoft  ,,,0.76,,,0.06,0.82,2008,Misc
Clu Clu Land,NES,Nintendo  ,,,0.42,0.1,0.28,0.02,0.82,1985,Puzzle
Killer Instinct Gold,N64,Nintendo  ,,,0.61,0.19,,0.01,0.82,1996,Fighting
Amped: Freestyle Snowboarding,XB,Microsoft  ,,,0.69,0.11,,0.02,0.82,2001,Sports
MediEvil: Resurrection,PSP,Sony Computer Entertainment  ,6.5,,0.19,0.42,,0.22,0.82,2005,Adventure
Custer's Revenge,2600,Mystique  ,,,0.76,0.05,,0.01,0.82,1982,Action
Rocket Power: Beach Bandits,PS2,THQ  ,,,0.4,0.31,,0.1,0.82,2002,Platform
The Lord of the Rings: War in the North,PS3,Warner Bros. Interactive  ,6.5,,0.25,0.43,0.01,0.12,0.82,2011,Role-Playing
Patapon,PSP,Sony Computer Entertainment  ,8.7,,0.33,0.25,0.07,0.17,0.82,2008,Platform
The Crew 2,PS4,Ubisoft  ,6.5,,0.22,0.42,0.05,0.12,0.82,2018,Racing
Pro Evolution Soccer 2016,PS4,Konami Digital Entertainment  ,,,0.14,0.43,0.14,0.1,0.82,2015,Sports
The Walking Dead: A Telltale Games Series,PS3,Telltale Games  ,,,0.4,0.25,0.03,0.14,0.82,2012,Adventure
EA Sports Active NFL Training Camp,Wii,EA Sports  ,,,0.76,,,0.05,0.82,2010,Sports
Professor Layton vs Ace Attorney,3DS,Nintendo  ,8.1,,0.2,0.27,0.3,0.04,0.82,2014,Adventure
theHunter: Call of the Wild,PC,Maximum Games  ,,,,0.01,,0,0.01,2017,Shooter
Dragon Quest III,GB,Enix  ,,,,,0.81,0,0.81,2001,Role-Playing
Ready 2 Rumble Boxing: Round 2,PS2,Midway Games  ,7.9,,0.4,0.31,,0.1,0.81,2000,Fighting
Kamaitachi no Yoru,SNES,ChunSoft  ,,,,,0.81,,0.81,1994,Adventure
Imagine: Rock Star,DS,Ubisoft  ,,,0.4,0.33,,0.09,0.81,2008,Simulation
Yokai Watch 3: Sukiyaki,3DS,Nintendo  ,,,,,0.81,,0.81,2019,Role-Playing
Tales of Destiny II,PS,Namco  ,7.5,,0.06,0.04,0.66,0.05,0.81,2001,Role-Playing
Super Bomberman 2,SNES,Hudson Soft  ,,,,,0.81,0,0.81,1994,Puzzle
NASCAR 2001,PS,EA Sports  ,,,0.45,0.31,,0.05,0.81,2000,Racing
DmC Devil May Cry,PS3,Capcom  ,,,0.24,0.29,0.19,0.1,0.81,2013,Action
The Legend of Zelda: Four Swords Adventures,GC,Nintendo  ,8.4,,0.63,0.16,,0.02,0.81,2004,Adventure
Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,PS,Konami  ,,,,,0.76,0.05,0.81,1999,Sports
Shaun White Snowboarding,X360,Ubisoft  ,6.2,,0.48,0.25,0,0.08,0.81,2008,Sports
Final Fantasy Type-0,PSP,Unknown  ,,,,,0.81,,0.81,2020,Role-Playing
Madden NFL 16,PS3,EA Sports  ,8,,0.6,0.07,,0.15,0.81,2015,Sports
Army Men: Sarge's Heroes,N64,3DO  ,4.2,,0.68,0.12,,0.01,0.81,1999,Shooter
Empire: Total War,PC,Sega  ,8.9,,0.01,0.98,,0.09,1.07,2009,Strategy
Football Manager 2015,PC,Sega  ,,,,0.44,,0.03,0.47,2014,Simulation
Mega Man,NES,Capcom  ,,,0.45,0.08,0.27,0.01,0.81,1987,Platform
Resident Evil 2: Dual Shock Edition,PS,Capcom  ,9,,,,0.26,0.02,0.27,1998,Action
Pro Evolution Soccer 2010,X360,Konami  ,7,,0.12,0.58,0.03,0.08,0.81,2009,Sports
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,Square Enix  ,,,0.21,0.14,0.39,0.07,0.81,2015,Action
LEGO Dimensions,PS3,Warner Bros. Interactive Entertainment  ,,,0.26,0.41,,0.13,0.81,2015,Action
Tom Clancy's Rainbow Six 3,PS2,Ubisoft  ,,,0.4,0.31,,0.1,0.81,2004,Shooter
Disney's The Little Mermaid: Ariel's Undersea Adventure,DS,Buena Vista  ,,,0.72,0.03,,0.06,0.81,2006,Action
Battle of Giants: Dinosaurs,DS,Ubisoft  ,,,0.37,0.35,,0.08,0.81,2008,Strategy
SingStar Vol. 2,PS3,Sony Computer Entertainment  ,,,0.29,0.39,,0.12,0.81,2008,Misc
NCAA Football 10,PS3,EA Sports  ,8.1,,0.75,,,0.06,0.81,2009,Sports
Professor Layton and the Azran Legacy,3DS,Nintendo  ,8,,,0.53,0.25,0.03,0.81,2014,Puzzle
EarthBound,SNES,Nintendo  ,,,,,0.81,,0.81,1995,Role-Playing
Need for Speed Rivals,X360,Electronic Arts  ,,,0.38,0.35,0.01,0.07,0.81,2013,Racing
The Next Tetris,PS,Atari  ,,,0.45,0.31,,0.05,0.81,1999,Puzzle
Guitar Hero: Warriors of Rock,PS3,Activision  ,,,0.33,0.35,,0.13,0.81,2010,Misc
World Soccer Jikkyou Winning Eleven 3: World Cup France '98,PS,Konami  ,,,,,0.75,0.05,0.81,1998,Sports
Final Fantasy XI: Wings of the Goddess,PS2,Square Enix  ,,,0.35,0.27,0.09,0.09,0.81,2007,Role-Playing
The Sims 2,PS2,Electronic Arts  ,,,0.67,0.03,,0.11,0.81,2005,Simulation
Golden Sun: Dark Dawn,DS,Nintendo  ,8,,0.53,0.1,0.13,0.05,0.81,2010,Role-Playing
Who Wants to be a Millionaire,PS,Eidos Interactive  ,,,0.45,0.3,,0.05,0.8,2000,Misc
Ben 10: Alien Force,Wii,D3 Publisher  ,,,0.52,0.21,,0.07,0.8,2008,Action
Star Wars Rogue Squadron III: Rebel Strike,GC,LucasArts  ,8.3,,0.62,0.16,,0.02,0.8,2003,Simulation
Moto Racer,PS,Electronic Arts  ,,,0.45,0.3,,0.05,0.8,1997,Racing
Hitman: Contracts,PS2,Eidos Interactive  ,,,0.39,0.31,,0.1,0.8,2004,Shooter
Deca Sports 2,Wii,Hudson Soft  ,,,0.31,0.34,0.09,0.07,0.8,2009,Sports
Final Fantasy Anthology,PS,Square EA  ,8.6,,0.45,0.3,,0.05,0.8,1999,Role-Playing
DiRT 2,X360,Codemasters  ,8.8,,0.32,0.39,0,0.09,0.8,2009,Racing
Star Wars The Clone Wars: Republic Heroes,Wii,LucasArts  ,4.8,,0.43,0.3,,0.07,0.8,2009,Action
The Sims 2: Pets,PSP,Electronic Arts  ,5.8,,0.19,0.39,,0.22,0.8,2006,Simulation
Tom Clancy's Ghost Recon Advanced Warfighter,X360,Ubisoft  ,9.1,,1.4,0.02,0.02,0.1,1.54,2006,Shooter
Yakuza 6: The Song of Life,PS4,Sega  ,,,0.16,0.1,0.38,0.05,0.69,2018,Adventure
Zumba Fitness,Wii,Majesco  ,,,3.47,2.62,,0.67,6.76,2010,Sports
Pro Evolution Soccer 2010,PSP,Konami  ,,,0.09,0.33,0.2,0.18,0.8,2009,Sports
Prince of Persia: Warrior Within,XB,Ubisoft  ,,,0.48,0.28,,0.04,0.8,2004,Adventure
Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,Nintendo  ,5.9,,0.37,0.23,0.14,0.06,0.8,2013,Sports
Guitar Hero: Metallica,X360,Activision  ,8.5,,0.52,0.2,,0.07,0.8,2009,Misc
Hasbro Family Game Night 3,Wii,Electronic Arts  ,,,0.46,0.27,,0.07,0.8,2010,Misc
The Amazing Spider-Man (2012),PS3,Activision  ,7.3,,0.31,0.36,,0.12,0.8,2012,Action-Adventure
Super Robot Taisen α,PS,Banpresto  ,,,,,0.75,0.05,0.8,2000,Strategy
WWE 2K15,PS3,2K Sports  ,,,0.37,0.29,,0.13,0.8,2014,Sports
Need for Speed: Hot Pursuit 2,GC,Electronic Arts  ,7.5,,0.68,0.09,,0.02,0.8,2002,Racing
PES 2009: Pro Evolution Soccer,PSP,Konami  ,7.3,,0.04,0.33,0.26,0.17,0.8,2008,Sports
Farming Simulator 17,PC,Focus Home Interactive  ,,,0.11,0.94,,0.07,1.12,2016,Simulation
Capcom's Soccer Shootout,SNES,Capcom  ,,,,,0.8,,0.8,1994,Sports
Rayman Raving Rabbids 2,DS,Ubisoft  ,,,0.73,0.01,,0.06,0.8,2007,Misc
Alien,2600,20th Century Fox Video Games  ,,,0.74,0.04,,0.01,0.79,1982,Action
Dragon's Dogma,X360,Capcom  ,,,0.42,0.24,0.07,0.06,0.79,2012,Role-Playing
Invizimals,PSP,Sony Computer Entertainment  ,6.6,,0.17,0.51,,0.11,0.79,2010,Strategy
Guitar Hero: Aerosmith,PS2,Activision  ,,,0.61,0,,0.18,0.79,2008,Misc
Assassin's Creed The Ezio Collection,PS4,Ubisoft  ,,,0.14,0.52,0.02,0.12,0.79,2016,Action
Pro Evolution Soccer 2011,PSP,Konami  ,,,0.05,0.3,0.29,0.16,0.79,2010,Sports
The Sims 2: Castaway,PSP,Electronic Arts  ,,,0.08,0.46,,0.25,0.79,2007,Simulation
Ridge Racer,PS,Namco  ,9,,,,0.74,0.05,0.79,1995,Racing
All Star Cheer Squad,Wii,THQ  ,,,0.43,0.29,,0.08,0.79,2008,Sports
Dead Island: Riptide,X360,Deep Silver  ,5.6,,0.44,0.27,0.01,0.07,0.79,2013,Misc
Harvest Moon: A Wonderful Life,GC,Natsume  ,8.2,,0.61,0.16,,0.02,0.79,2004,Role-Playing
Ace Combat Zero: The Belkan War,PS2,Namco  ,7.5,,0.15,0.12,0.2,0.04,0.51,2006,Simulation
Darksiders II,X360,THQ  ,8.6,,0.45,0.27,0,0.07,0.79,2012,Action-Adventure
Motocross Mania,PS,Take-Two Interactive  ,,,0.44,0.3,,0.05,0.79,2001,Racing
Prototype 2,X360,Activision  ,,,0.48,0.24,,0.06,0.79,2012,Action
NBA 2K16,PS3,2K Sports  ,,,0.49,0.12,0.05,0.13,0.79,2015,Sports
Band Hero,X360,Activision  ,7.6,,0.51,0.21,,0.07,0.79,2009,Misc
Football Manager 2014,PC,Sega  ,8.4,,,0.62,,0.04,0.66,2013,Sports
Mega Man 5,NES,Capcom  ,,,0.39,0.07,0.32,0.01,0.79,1992,Platform
WCW Mayhem,N64,Electronic Arts  ,,,0.63,0.15,,0.01,0.79,1999,Fighting
Dragon Quest Monsters 2,3DS,Square Enix  ,,,,,0.79,,0.79,2014,Role-Playing
Dance Dance Revolution SuperNOVA 2,PS2,Konami  ,,,0.64,0.03,0.02,0.1,0.79,2007,Simulation
Armored Core 2,PS2,Agetec  ,,,0.28,0.22,0.23,0.07,0.79,2000,Simulation
The Godfather II,X360,Electronic Arts  ,6.2,,0.47,0.23,0.01,0.08,0.79,2009,Adventure
Major League Baseball Featuring Ken Griffey Jr,N64,Nintendo  ,,,0.75,0.03,,0.01,0.79,1998,Sports
NCAA Football 08,PS2,Electronic Arts  ,,,0.65,0.03,,0.11,0.79,2007,Sports
FIFA Soccer 2004,XB,EA Sports  ,,,0.24,0.49,,0.05,0.79,2003,Sports
Final Fantasy XIV: A Realm Reborn,PS4,Square Enix  ,,,0.35,0.23,0.08,0.12,0.79,2014,MMO
Red Faction: Armageddon,PC,THQ  ,7.3,,0.05,0.02,,0.01,0.09,2011,Shooter
MadWorld,Wii,Sega  ,8.1,8.1,0.45,0.24,0.02,0.07,0.78,2009,Action
Tiger Woods PGA Tour 10,PS3,EA Sports  ,8.4,,0.42,0.25,,0.11,0.78,2009,Sports
Destiny: The Collection,PS4,Activision  ,,,0.24,0.4,0.02,0.12,0.78,2016,Shooter
Shadow of the Tomb Raider,XOne,Square Enix  ,,,0.46,0.25,,0.07,0.78,2018,Action-Adventure
Too Human,X360,Microsoft Game Studios  ,6.5,,0.38,0.3,0.03,0.08,0.78,2008,Role-Playing
Fight Night Champion,X360,EA Sports  ,8.4,,0.4,0.31,,0.07,0.78,2011,Fighting
DJ Hero 2,PS3,Activision  ,8.4,,0.49,0.19,,0.1,0.78,2010,Misc
Yars' Revenge,2600,Atari  ,,,0.73,0.04,,0.01,0.78,1982,Shooter
Aliens: Colonial Marines,X360,Sega  ,,,0.36,0.35,,0.07,0.78,2013,Shooter
Personal Trainer: Walking,DS,Nintendo  ,,,0.22,0.32,0.17,0.07,0.78,2009,Sports
LEGO Jurassic World,XOne,Warner Bros. Interactive Entertainment  ,,,0.44,0.27,,0.07,0.78,2015,Action
Secret Agent Barbie: Royal Jewels Mission,GBA,VU Games  ,,,0.56,0.21,,0.01,0.78,2002,Platform
Star Wars: The Force Unleashed II,Wii,LucasArts  ,7.5,,0.53,0.19,,0.06,0.78,2010,Action
Doom,PS,GT Interactive  ,,,0.43,0.3,,0.05,0.78,1995,Shooter
Naruto Shippuden: Ultimate Ninja Storm 2,X360,Namco Bandai  ,7.6,,0.43,0.27,0.01,0.07,0.78,2010,Fighting
Buzz! The Hollywood Quiz,PS2,Sony Computer Entertainment  ,,,0.17,0,,0.61,0.78,2008,Misc
Tom Clancy's Splinter Cell: Double Agent,X360,Ubisoft  ,8.5,8.3,0.67,0.04,0.01,0.06,0.78,2006,Action
DJ Hero,Wii,Activision  ,8.6,,0.47,0.23,,0.08,0.78,2009,Misc
Sid Meier's Civilization Revolution,PS3,2K Games  ,8.4,,0.49,0.19,0.01,0.09,0.78,2008,Strategy
Star Wars The Clone Wars: Jedi Alliance,DS,LucasArts  ,,,0.61,0.11,,0.06,0.78,2008,Action
Marvel vs. Capcom: Clash of Super Heroes,PS,Capcom  ,,,0.43,0.3,,0.05,0.78,2000,Fighting
Drawn to Life,DS,THQ  ,,,0.71,0.01,,0.06,0.78,2007,Adventure
Battle Stations,PS,Electronic Arts  ,,,0.43,0.29,,0.05,0.78,1997,Strategy
Rayman Origins,X360,Ubisoft  ,9,,0.38,0.32,,0.08,0.78,2011,Platform
Goldeneye 007: Reloaded,PS3,Activision  ,7.4,,0.33,0.33,,0.12,0.78,2011,Shooter
F1 2016,PS4,Codemasters  ,,,0.07,0.56,0.03,0.11,0.78,2017,Racing
Rare Replay,XOne,Microsoft Studios  ,,,0.42,0.27,0.01,0.07,0.78,2015,Misc
Need for Speed: ProStreet,PSP,Electronic Arts  ,5.6,,0.24,0.33,0.01,0.19,0.78,2008,Racing
NBA 2K7,PS2,2K Sports  ,8.2,,0.65,0.02,,0.11,0.78,2006,Sports
Torneko no Daibouken: Fushigi no Dungeon,SNES,ChunSoft  ,,,,,0.78,,0.78,1993,Role-Playing
Jr. Pac-Man,2600,Atari  ,,,0.72,0.05,,0.01,0.78,1984,Puzzle
James Bond 007: Nightfire,GC,Electronic Arts  ,8.1,,0.6,0.16,,0.02,0.78,2002,Shooter
Mass Effect: Andromeda,XOne,Electronic Arts  ,,,0.5,0.2,,0.07,0.78,2017,Role-Playing
Hitman,PS4,Square Enix  ,,,0.24,0.36,0.06,0.11,0.78,2017,Action
Dragon Age: Inquisition,PC,Electronic Arts  ,,,0.38,0.33,,0.07,0.78,2014,Role-Playing
NBA ShootOut 98,PS,Sony Computer Entertainment  ,,,0.43,0.29,,0.05,0.78,1998,Sports
ABBA: You Can Dance,Wii,Ubisoft  ,,,0.18,0.5,,0.1,0.77,2011,Misc
Prototype 2,PS3,Activision  ,,,0.38,0.28,,0.11,0.77,2012,Action
Galaxian,2600,Atari  ,,,0.72,0.05,,0.01,0.77,1983,Shooter
Minecraft: Story Mode,XOne,Mojang  ,,,0.46,0.24,,0.07,0.77,2015,Adventure
Puzzler World,DS,Atari  ,,,0.41,0.3,,0.07,0.77,2009,Puzzle
Lips,X360,Microsoft Game Studios  ,7.1,,0.12,0.56,,0.1,0.77,2008,Misc
Andretti Racing,PS,EA Sports  ,7.3,,0.43,0.29,,0.05,0.77,1996,Racing
Caesars Palace 2000: Millennium Gold Edition,PS,Interplay  ,,,0.43,0.29,,0.05,0.77,2000,Misc
UFC Personal Trainer: The Ultimate Fitness System,X360,THQ  ,6,,0.53,0.18,,0.06,0.77,2011,Sports
Air Raid,2600,Men-A-Vision  ,,,0.72,0.04,,0.01,0.77,1982,Action
Marvel Nemesis: Rise of the Imperfects,PS2,Electronic Arts  ,,,0.64,0.02,,0.1,0.77,2005,Fighting
Boxing,2600,Activision  ,,,0.72,0.04,,0.01,0.77,1980,Fighting
Resident Evil: Operation Raccoon City,X360,Capcom  ,,,0.55,0.14,0.03,0.06,0.77,2012,Shooter
Need for Speed: Porsche Unleashed,PS,Electronic Arts  ,,,0.43,0.29,,0.05,0.77,2000,Racing
Ghost Squad,Wii,Sega  ,7,,0.42,0.21,0.08,0.07,0.77,2007,Shooter
Star Wars Battlefront: Elite Squadron,PSP,LucasArts  ,6,,0.38,0.24,,0.16,0.77,2009,Shooter
James Cameron's Avatar: The Game,X360,Ubisoft  ,6,,0.34,0.35,,0.08,0.77,2009,Action
Crystal Castles,2600,Atari  ,,,0.72,0.04,,0.01,0.77,1984,Action
Conker's Bad Fur Day,N64,Rare  ,9.2,,0.53,0.22,,0.02,0.77,2001,Platform
Rayman Advance,GBA,Ubisoft  ,8.4,,0.36,0.13,,0.01,0.5,2001,Platform
Fortnite,XOne,Gearbox Software  ,,,0.6,0.09,,0.08,0.77,2017,Action
Dragon Warrior I&II,GB,Enix  ,,,,,0.77,,0.77,2000,Role-Playing
Tales of Phantasia,PS,Namco  ,,,,,0.54,0.04,0.58,1998,Role-Playing
Star Wars Episode II: Attack of the Clones,GBA,THQ  ,,,0.55,0.2,,0.01,0.77,2002,Action
The Sims 3,3DS,Electronic Arts  ,5.6,,0.3,0.38,0.03,0.07,0.77,2011,Simulation
Twisted Metal: Head On,PSP,Sony Computer Entertainment  ,7.5,,0.71,0,,0.06,0.77,2005,Action
Tetris Party Deluxe,DS,Majesco  ,,,0.28,0.3,0.12,0.07,0.77,2010,Puzzle
Dragon Ball: Raging Blast,PS3,Namco Bandai  ,5.6,,0.37,0.19,0.11,0.1,0.77,2009,Fighting
Need for Speed: Undercover,PSP,Electronic Arts  ,5.4,,0.23,0.32,0.03,0.19,0.77,2008,Racing
Conflict: Desert Storm II - Back to Bagdhad,PS2,Gotham Games  ,,,0.38,0.29,,0.1,0.77,2003,Shooter
Maximo: Ghosts to Glory,PS2,Capcom  ,8.7,,0.38,0.29,,0.1,0.77,2002,Platform
Battlefield 1,PC,Electronic Arts  ,9.1,,0.3,0.41,,0.06,0.77,2016,Shooter
Fire Emblem: Monshou no Nazo,SNES,Nintendo  ,,,,,0.7,,0.7,1994,Strategy
Donkey Kong Country 3,GBA,Nintendo  ,7.5,,0.45,0.17,0.14,0.01,0.77,2005,Platform
All-Star Baseball 2003,PS2,Acclaim Entertainment  ,,,0.38,0.29,,0.1,0.77,2002,Sports
Persona 4 Arena,PS3,Atlus  ,,,0.32,0.12,0.24,0.08,0.77,2012,Fighting
